t= 23.0, v=36760.00000110923, r=75599999998.73758;
t= 24.0, v=36760.00000119771, r=75599999998.61807;
t= 25.0, v=36760.000001289576, r=75599999998.49323;
t= 26.0, v=36760.00000138482, r=75599999998.36304;
t= 27.0, v=36760.000001483444, r=75599999998.2275;
t= 28.0, v=36760.000001585446, r=75599999998.0866;
t= 29.0, v=36760.00000169082, r=75599999997.94035;
t= 30.0, v=36760.00000179959, r=75599999997.78874;
t= 31.0, v=36760.000001911736, r=75599999997.6318;
t= 32.0, v=36760.00000202727, r=75599999997.46951;
t= 33.0, v=36760.00000214618, r=75599999997.30185;
t= 34.0, v=36760.00000226847, r=75599999997.12883;
t= 35.0, v=36760.00000239415, r=75599999996.95049;
t= 36.0, v=36760.00000252319, r=75599999996.76677;
t= 37.0, v=36760.00000265562, r=75599999996.57771;
t= 38.0, v=36760.000002791436, r=75599999996.38332;
t= 39.0, v=36760.00000293063, r=75599999996.18355;
t= 40.0, v=36760.000003073204, r=75599999995.97844;
t= 41.0, v=36760.000003219175, r=75599999995.76799;
t= 42.0, v=36760.00000336851, r=75599999995.55217;
t= 43.0, v=36760.00000352122, r=75599999995.33101;
t= 44.0, v=36760.00000367732, r=75599999995.10449;
t= 45.0, v=36760.0000038368, r=75599999994.87262;
t= 46.0, v=36760.00000399966, r=75599999994.6354;
t= 47.0, v=36760.00000416591, r=75599999994.39284;
t= 48.0, v=36760.00000433553, r=75599999994.14493;
t= 49.0, v=36760.00000450854, r=75599999993.89165;
t= 50.0, v=36760.00000468492, r=75599999993.63303;
t= 51.0, v=36760.00000486468, r=75599999993.36906;
t= 52.0, v=36760.000005047834, r=75599999993.09972;
t= 53.0, v=36760.00000523436, r=75599999992.82504;
t= 54.0, v=36760.00000542428, r=75599999992.54503;
t= 55.0, v=36760.00000561756, r=75599999992.25964;
t= 56.0, v=36760.00000581424, r=75599999991.9689;
t= 57.0, v=36760.000006014285, r=75599999991.67282;
t= 58.0, v=36760.00000621772, r=75599999991.3714;
t= 59.0, v=36760.000006424525, r=75599999991.06462;
t= 60.0, v=36760.00000663473, r=75599999990.75249;
t= 61.0, v=36760.0000068483, r=75599999990.43498;
t= 62.0, v=36760.00000706526, r=75599999990.11215;
t= 63.0, v=36760.0000072856, r=75599999989.78397;
t= 64.0, v=36760.00000750932, r=75599999989.45041;
t= 65.0, v=36760.00000773642, r=75599999989.11153;
t= 66.0, v=36760.0000079669, r=75599999988.76729;
t= 67.0, v=36760.000008200754, r=75599999988.41771;
t= 68.0, v=36760.000008438, r=75599999988.06274;
t= 69.0, v=36760.000008678624, r=75599999987.70247;
t= 70.0, v=36760.00000892263, r=75599999987.33682;
t= 71.0, v=36760.00000917001, r=75599999986.96582;
t= 72.0, v=36760.00000942078, r=75599999986.58946;
t= 73.0, v=36760.00000967493, r=75599999986.20775;
t= 74.0, v=36760.00000993245, r=75599999985.82071;
t= 75.0, v=36760.00001019336, r=75599999985.4283;
t= 76.0, v=36760.000010457654, r=75599999985.03055;
t= 77.0, v=36760.00001072532, r=75599999984.62746;
t= 78.0, v=36760.00001099637, r=75599999984.21901;
t= 79.0, v=36760.000011270815, r=75599999983.8052;
t= 80.0, v=36760.000011548625, r=75599999983.38603;
t= 81.0, v=36760.00001182982, r=75599999982.96152;
t= 82.0, v=36760.00001211439, r=75599999982.53165;
t= 83.0, v=36760.00001240235, r=75599999982.09644;
t= 84.0, v=36760.00001269369, r=75599999981.65587;
t= 85.0, v=36760.00001298841, r=75599999981.20996;
t= 86.0, v=36760.00001328651, r=75599999980.7587;
t= 87.0, v=36760.000013588, r=75599999980.30208;
t= 88.0, v=36760.00001389285, r=75599999979.84012;
t= 89.0, v=36760.00001420109, r=75599999979.3728;
t= 90.0, v=36760.00001451273, r=75599999978.90013;
t= 91.0, v=36760.000014827725, r=75599999978.42212;
t= 92.0, v=36760.00001514611, r=75599999977.93872;
t= 93.0, v=36760.00001546788, r=75599999977.45001;
